Player,Team,Recpt,Yd,Avg,TD,FL,FPTS
Shane Wynn,JAC,3.8,53.2,14.0,0.3,0.1,7.1
Freddie Martino,TB,4.5,64.9,14.4,0.1,0.1,7.1
Bradley Marquez,DET,4.9,59.0,12.0,0.2,0.0,7.1
Max McCaffrey,SF,5.8,58.9,10.2,0.2,0.1,7.0
Chris Thompson,HOU,4.1,58.0,14.1,0.2,0.1,7.0
Isaiah McKenzie,DEN,5.5,66.5,12.1,0.3,0.9,6.9
Tanner Gentry,CHI,4.8,56.2,11.7,0.2,0.1,6.9
Josh Malone,CIN,4.7,52.5,11.2,0.3,0.1,6.7
K.J. Brent,IND,4.0,50.9,12.7,0.3,0.0,6.7
Auden Tate,CIN,4.0,50.0,12.5,0.3,0.1,6.6
Stacy Coley,MIN,3.9,46.0,11.8,0.3,0.0,6.3
Javon Wims,CHI,4.0,53.0,13.3,0.2,0.1,6.3
J.D. McKissic,SEA,7.0,48.0,6.9,0.3,0.2,6.2
Marcus Johnson,SEA,5.1,54.6,10.7,0.2,0.2,6.2
Dwayne Harris,OAK,3.0,41.6,13.9,0.5,0.4,6.2
Isaac Whitney,OAK,4.4,52.5,11.9,0.2,0.0,6.1
Jehu Chesson,KC,4.6,53.4,11.6,0.1,0.0,6.1
Charles Johnson,NYJ,5.0,61.0,12.2,0.0,0.1,5.9
Austin Proehl,BUF,4.0,45.0,11.3,0.2,0.0,5.7
Brandon Reilly,BUF,4.0,45.0,11.3,0.2,0.0,5.7
Ray-Ray McCloud,BUF,4.0,45.0,11.3,0.2,0.0,5.7
Quan Bray,HOU,5.2,53.5,10.3,0.1,0.1,5.7
Aaron Burbridge,SF,4.0,52.0,13.0,0.2,0.3,5.6
Shelton Gibson,PHI,4.3,50.5,11.7,0.1,0.1,5.6
Noah Brown,DAL,4.4,44.1,10.0,0.2,0.1,5.6
JoJo Natson,LAR,4.0,45.0,11.3,0.2,0.1,5.5
Kaelin Clay,BUF,4.7,60.9,13.0,0.1,0.6,5.4
Griff Whalen,OAK,5.2,46.5,8.9,0.1,0.0,5.3
Chad Hansen,NYJ,3.4,44.7,13.1,0.2,0.1,5.2
Bryce Treggs,PHI,2.4,33.7,14.0,0.2,0.0,4.6
Cedrick Wilson,DAL,2.0,32.0,16.0,0.2,0.0,4.4
Jeff Janis,CLE,3.3,38.4,11.6,0.1,0.1,4.3
Kalif Raymond,NYG,3.2,37.4,11.7,0.2,0.5,3.8
Vince Mayle,BAL,2.3,30.4,13.2,0.1,0.1,3.5
Ricardo Louis,CLE,2.5,31.0,12.4,0.0,0.1,2.9
Andre Roberts,NYJ,3.0,33.0,11.0,0.1,0.7,2.5
